,epochs,batch,lay1_siz,lay1_act,Drop1,lay2_siz,lay2_act,Drop2,lay3_siz,lay3_act,Drop3,lout_siz,lout_act,loss,optimizer,test_accur,train_accur
51,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.3,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
52,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.5,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
53,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.8,2,relu,categorical_crossentropy,adam,0.5599999976158142,0.6999999996594021
54,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
55,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
56,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
57,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
58,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
59,500,375,128,relu,0.3,64,relu,0.5,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
60,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
61,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
62,500,375,128,relu,0.3,64,relu,0.8,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
63,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
64,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
65,500,375,128,relu,0.5,64,relu,0.3,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
66,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
67,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
68,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
69,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
70,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
71,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
72,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
73,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
74,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
75,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
76,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
77,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.8,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
78,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.3,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
79,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.5,2,relu,categorical_crossentropy,Adagrad,0.5599999976158142,0.6999999996594021
